epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1548.17,1.02383,0.98755,1.2611,0.53242,0.21887,0.19576,0.0977,2.14985,3.36815,2.16337,0.000456863,0.000456863,0.000456863
43,1582.55,1.04939,0.99538,1.2776,0.43762,0.17023,0.17551,0.08947,2.14536,3.35166,2.16323,0.00044925,0.00044925,0.00044925
44,1616.68,1.01337,0.97297,1.25222,0.36573,0.18755,0.19444,0.096,2.17049,3.31543,2.20344,0.000441637,0.000441637,0.000441637
45,1650.42,1.00983,0.94467,1.25083,0.27151,0.17253,0.15323,0.07652,2.35273,3.26888,2.27167,0.000434024,0.000434024,0.000434024
46,1684.68,0.97799,0.92013,1.2388,0.38849,0.1776,0.18945,0.09568,2.37459,3.27123,2.32758,0.000426411,0.000426411,0.000426411
47,1720.09,0.9696,0.92416,1.24284,0.30486,0.2198,0.20008,0.10254,2.10059,3.60224,2.1691,0.000418797,0.000418797,0.000418797
48,1755.37,0.96562,0.89178,1.22013,0.58774,0.19902,0.202,0.095,2.24786,3.32872,2.213,0.000411184,0.000411184,0.000411184
49,1792.17,0.91556,0.85463,1.20649,0.37427,0.22299,0.18222,0.08671,2.27712,3.19525,2.25511,0.000403571,0.000403571,0.000403571
50,1827.06,0.92605,0.87538,1.20462,0.22874,0.22849,0.16652,0.08913,2.33038,3.02652,2.33703,0.000395958,0.000395958,0.000395958
51,1862.53,0.90175,0.8018,1.17658,0.27387,0.19091,0.14569,0.06974,2.27165,3.50781,2.30998,0.000388345,0.000388345,0.000388345
52,1899.56,0.94516,0.83822,1.19528,0.23895,0.19338,0.16831,0.09331,2.2147,3.43567,2.20627,0.000380732,0.000380732,0.000380732
53,1936,0.91913,0.80897,1.17545,0.27114,0.24273,0.16133,0.08253,2.16042,3.26802,2.1995,0.000373119,0.000373119,0.000373119
54,1971.64,0.90796,0.80448,1.19044,0.37584,0.15715,0.15354,0.08231,2.21149,3.42482,2.20398,0.000365506,0.000365506,0.000365506
55,2007.09,0.88673,0.80594,1.16836,0.1826,0.20149,0.15641,0.08724,2.19568,3.45075,2.2571,0.000357893,0.000357893,0.000357893
56,2042.25,0.90127,0.81815,1.17267,0.28697,0.16974,0.16699,0.09098,2.21166,3.27183,2.24243,0.00035028,0.00035028,0.00035028
57,2078.09,0.87275,0.8097,1.16242,0.37068,0.15944,0.18798,0.10474,2.11349,3.35308,2.19967,0.000342666,0.000342666,0.000342666
58,2113.95,0.86583,0.76777,1.1566,0.35991,0.20279,0.18222,0.10052,2.25218,3.4021,2.29567,0.000335053,0.000335053,0.000335053
59,2148.82,0.85254,0.75114,1.1541,0.28785,0.19266,0.14865,0.07282,2.25607,3.38691,2.26956,0.00032744,0.00032744,0.00032744
60,2183.98,0.87356,0.75375,1.16229,0.3776,0.17792,0.16406,0.0897,2.21877,3.43453,2.23836,0.000319827,0.000319827,0.000319827
61,2218.76,0.84789,0.75825,1.14738,0.36271,0.16498,0.16803,0.0943,2.21378,3.68779,2.20606,0.000312214,0.000312214,0.000312214
62,2252.98,0.84544,0.74114,1.14637,0.24724,0.21291,0.16564,0.09131,2.184,3.52821,2.19716,0.000304601,0.000304601,0.000304601
63,2287.83,0.85089,0.72427,1.13825,0.37378,0.17261,0.18481,0.09956,2.31381,3.21712,2.29007,0.000296988,0.000296988,0.000296988
64,2322.12,0.79759,0.6927,1.12017,0.29468,0.19904,0.18973,0.10279,2.2344,3.18583,2.2436,0.000289375,0.000289375,0.000289375
